37400,2017,14980
33500,2015,37000
35000,2015,36000
34500,2015,44000
30499,2015,40000
37900,2017,26000
35500,2016,46500
30000,2014,90000
31000,2014,90000
37900,2015,43425
35900,2016,30700
36899,2015,27432
35990,2015,50500
33900,2015,48300
38900,2016,79563
38900,2017,58000
32900,2014,33000
42000,2017,51000
33000,2014,79000
32900,2014,63000
36799,2016,31000
35990,2015,65000
34900,2015,54000
40130,2018,41854
35490,2015,66124
32899,2015,38165
30999,2015,49962
35100,2015,56657
45000,2017,34852
32989,2013,78272
32989,2013,93905
31900,2014,75172
36900,2016,21768
36990,2015,57100
35000,2015,47000
38899,2016,49292
35900,2016,12000
34980,2015,74000
38500,2017,33300
38990,2016,39100
41499,2017,19680
35990,2014,44000
40900,2017,50200
32980,2015,58031
30000,2014,55118
37890,2015,58000
38870,2018,19000
32999,2014,67000
35890,2016,77889
33990,2014,75300
38990,2016,32500
31900,2015,75000
38799,2016,39069
29900,2014,52900
35900,2015,64000
34990,2015,38420
29799,2013,59000
39990,2018,60411
41990,2017,37765
33900,2013,50000
36500,2016,33000
39990,2018,56757
38900,2017,51000
40490,2018,45840
29900,2013,89000
34899,2016,32925
38000,2016,40000
36000,2016,42000
41900,2018,36008
40990,2017,32586
32200,2014,35600
34900,2015,35000
34990,2015,42903
34990,2015,43088
35490,2016,65937
37490,2017,50647
32000,2013,66850
28900,2013,84500
36900,2015,56505
33200,2015,72000
34990,2014,44800
33500,2014,58957
32900,2013,73000
38730,2017,41791
27900,2013,86000
36490,2016,19880
34832,2014,50000
30890,2014,38500
41799,2018,15575
31800,2013,47000
31500,2014,55000
35990,2016,48376
35990,2015,28565
40490,2018,43437
35990,2015,42102
39990,2018,55693
37900,2016,27102
35900,2015,38200
32913,2013,999999
37900,2016,42944
35490,2016,69993
35900,2015,89999
39530,2017,31002
40990,2017,43364
32000,2015,52000
36490,2016,22000
35990,2016,55920
29900,2013,44000
43000,2018,11000
37490,2017,59595
35490,2016,69993
